region,date,t,rate,rate_hat,cum,cum_hat_fit,cum_hat_pred,error,mse,quality,drift,Historic,Forecast
Predict,2011-05-01T00:00:00Z,760,47.3,37.85674832771714,54010,53466.04393004289,53645.640885256544,-364.3591147434563,36026.15203883711,0.9987951942044174,0.997687201763783,,
Predict,2011-06-01T00:00:00Z,791,46.67741935483871,36.937694069743515,55457,54625.21191549262,54804.80887070627,-652.1911292937293,113891.57545695567,0.9978578301155656,0.9958601653355948,,
Predict,2011-07-01T00:00:00Z,821,47.63333333333333,36.09958397584655,56886,55720.65086686179,55900.24782207544,-985.752177924558,256860.872261298,0.9967829553712028,0.9937428602546248,,
Predict,2011-08-01T00:00:00Z,852,40.12903225806452,35.28179241588693,58130,56826.9411808544,57006.538136068055,-1123.4618639319451,400475.9704681755,0.995983050791024,0.9928687371545836,,
Predict,2011-09-01T00:00:00Z,883,46.806451612903224,34.508795250588044,59581,57908.58469974656,58088.18165496021,-1492.818345039792,628979.8005705714,0.9949658464458644,0.990524217740974,,
Predict,2011-10-01T00:00:00Z,913,29.7,33.79980023646545,60472,58933.121645047555,59112.71860026121,-1359.281399738793,764387.1475822694,0.994450360184272,0.9913718540400672,,
Predict,2011-11-01T00:00:00Z,944,32.96774193548387,33.1042538545304,61494,59970.0410815635,60149.63803677715,-1344.361963222851,868679.3416400822,0.9940838679913008,0.9914665563408006,,
Predict,2011-12-01T00:00:00Z,974,31.166666666666668,32.46422371453423,62429,60953.490150573496,61133.08710578715,-1295.9128942128518,942380.3314352684,0.9938380067834592,0.9917740906299636,,
Predict,2012-01-01T00:00:00Z,1005,28.838709677419356,31.83441715509356,63323,61950.03940064855,62129.6363558622,-1193.3636441377969,982525.0360781496,0.9937081273748416,0.9924250300880472,,
Predict,2012-02-01T00:00:00Z,1036,29.612903225806452,31.234293158638376,64241,62927.53065014336,63107.12760535701,-1133.872394642989,1005843.6184824016,0.9936339016804734,0.9928026554892914,,
Predict,2012-03-01T00:00:00Z,1065,30.82758620689655,30.697827261842356,65135,63825.4902450656,64005.08720027925,-1129.912799720747,1025190.7125174284,0.9935729683175148,0.9928277893305534,,
Predict,2012-04-01T00:00:00Z,1096,27.93548387096774,30.14915923693411,66001,64768.55463080237,64948.15158601602,-1052.8484139839784,1030743.983871505,0.9935555847965843,0.9933169616009728,,
Predict,2012-05-01T00:00:00Z,1126,44.36666666666667,29.64094074477497,67332,65665.3521315773,65844.94908679095,-1487.050913209052,1104530.0110342782,0.9933289089291631,0.990560826969688,,
Predict,2012-06-01T00:00:00Z,1157,42.70967741935484,29.137711241931424,68656,66576.36558717075,66755.9625423844,-1900.0374576156028,1251918.9715818127,0.99289774567986,0.9879393622859862,,
Predict,2012-07-01T00:00:00Z,1187,39.46666666666667,28.670560936246492,69840,67443.44248129614,67623.03943650979,-2216.960563490211,1455418.703164536,0.9923422341119148,0.9859276678597352,,
Predict,2012-08-01T00:00:00Z,1218,42.70967741935484,28.20703454087481,71164,68324.99641774125,68504.5933729549,-2659.4066270451003,1751051.592891213,0.991600419814589,0.9831192065532808,,
Predict,2012-09-01T00:00:00Z,1249,35.225806451612904,27.761799805745564,72256,69192.46760070637,69372.06455592002,-2883.93544407998,2079353.195527692,0.9908468149770012,0.9816939921672382,,
Predict,2012-10-01T00:00:00Z,1279,32.2,27.347280183702978,73222,70019.0648261061,70198.66178131975,-3023.338218680248,2415601.804527928,0.9901344618140832,0.9808091220537342,,
Predict,2012-11-01T00:00:00Z,1310,30.741935483870968,26.934832606836817,74175,70860.39709495197,71039.99405016562,-3135.005949834376,2752540.918208338,0.9894688693400048,0.9801003023173664,,
Predict,2012-12-01T00:00:00Z,1340,30.6,26.550178396541693,75093,71662.63768027845,71842.2346354921,-3250.765364507897,3092320.6806811993,0.9888377853007504,0.979365510296942,,
